County,Lat1,Lat2,Long1,Long2
"NYC, NYC",40.477399,40.9161785,-74.25909,-73.7001809
"Queens, NYC",40.4932114,40.8119497,-74.0444159,-73.7001809
New Jersey,38.7911303,41.357757,-75.563386,-73.8940326
"Kings, NYC",40.5498513,40.7394026,-74.0558455,-73.8335645
"Nassau, NY",40.5232996,40.9642048,-73.7804183,-73.4231409
"Westchester, NY",40.871721,41.366375,-73.983284,-73.482695
"Suffolk, NY",40.5552453,41.310504,-73.5474832,-71.7955694
"Bronx, NYC",40.7853322,40.9161785,-73.933652,-73.74806
Connecticut,40.9492617,42.050587,-73.727775,-71.786994
"Richmond, NYC",40.5739437,40.5740437,-74.1304703,-74.1303703
"Rockland, NY",40.996703,41.3213788,-74.234473,-73.8891569
Pennsylvania,39.7197662,42.5146891,-80.5210833,-74.689502
"Orange, NY",41.142883,41.6327701,-74.762623,-73.947294
"Dutchess, NY",41.438905,42.080906,-74.000108,-73.487314
"Putnam, NY",41.3210798,41.5265001,-73.9827382,-73.5306524
"Ulster, NY",41.58061,42.176992,-74.780693,-73.9115548
"Albany, NY",42.61379,42.722379,-73.898099,-73.723263
Massachusetts,41.1888589,42.8867135,-73.508142,-69.8601042
"Sullivan, NY",41.421657,42.016375,-75.1468225,-74.364334