County,GEO_ID
"New York County",0500000US36061
"Queens, NYC",0500000US36081
"New Jersey",0500000US34001
"Kings, NYC",0500000US36047
"Nassau, NY",0500000US36059
"Connecticut",0500000US09001
"Suffolk, NY",0500000US36103
"Bronx, NYC",0500000US36005
"Westchester, NY",0500000US36119
"Richmond County, NYC",0500000US36085
"Rockland, NY",0500000US36087
"Pennsylvania",0500000US42001
"Orange, NY",0500000US36071
"Dutchess, NY",0500000US36027
"Putnam, NY",0500000US36079
"Ulster, NY",0500000US36111
"Albany County, NY",0500000US36001
"Massachusetts",0500000US25001
"Sullivan, NY",0500000US36105
"Rhode Island",0500000US44001
"Columbia, NY",0500000US36021
"New Hampshire",0500000US33001